Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
1,1,1.0,1.0,1.0,0.0,1.0,0.0,"Associating a singer with dance classes he attended, although he did not hear the exact song."
3,0,,,,,,,
3,1,3.0,3.0,3.0,3.0,3.0,1.0,"I remember hearing one of those songs with my mother in the living room. He told me it was ""song"" that had her and my father, who danced together."
2,1,3.0,1.0,3.0,1.0,1.0,1.0,Mecano reminds me of the holidays people
2,0,,,,,,,
2,1,1.0,0.0,1.0,1.0,0.0,1.0,Listen to songs on TV or radio with my mother or my aunt.
2,0,,,,,,,
2,0,,,,,,,
3,1,4.0,4.0,1.0,3.0,4.0,0.0,
3,1,3.0,0.0,3.0,1.0,0.0,1.0,"I remember going to a concert of union with my parents. I remember the deafening volume of the music and trying to shout above the noise, but without getting to hear me. I remember dancing a lot, it was summer and we were all very happy"
3,1,2.0,1.0,3.0,1.0,1.0,1.0,Belted out
3,1,3.0,1.0,1.0,3.0,1.0,1.0,"Some songs I remember playing Sing Star with my sisters, especially aprendiendome the Thriller dance with them also small and Adolescent acrosport work of the school"
1,0,,,,,,,
2,1,3.0,1.0,3.0,2.0,2.0,1.0,"With my mother when I was younger, I used to hear on the radio cassette Mecano, both at home and in the car, and I liked them because they were moved and fun. Thriller was the first song that got me my sister in the first mp3 I had (can not remember the year but the song was downloaded from emule so imagine)"
3,1,3.0,3.0,3.0,3.0,3.0,1.0,"My answer is repeated, I recognized as 8 and all know by KISS FM. So again the car."
1,0,,,,,,,
3,1,2.0,1.0,2.0,1.0,1.0,1.0,Travel by car
3,1,2.0,1.0,2.0,1.0,3.0,0.0,
2,1,1.0,0.0,1.0,1.0,1.0,0.0,
3,1,0.0,1.0,1.0,1.0,2.0,1.0,"Jump in the car and listen to KissFM one of the songs, they put all the time. Listen from my terrace house ""Wolf Man"" of the union who had gone to play at parties. When Michael Jackson died and I told my brother, who was a fan, and he was in the lounge."
4,1,2.0,1.0,1.0,1.0,1.0,1.0,Some remind me of when I was in the car listening to Kiss FM and other moments listening to music with friends and dance them when have at some gambling den.
3,1,1.0,1.0,0.0,1.0,1.0,1.0,"The other day working my college instructor asked me niñxs song thriller in the yard, put it. There was a boy who danced with coreo well. The dancing was another very chaotically and also seemed to have fun."
3,1,0.0,0.0,1.0,2.0,1.0,0.0,
