Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
1,1,1.0,1.0,1.0,1.0,0.0,1.0,I do not recall precisely. It reminds me of the movie some or advertisement in which I heard another to be home with my aunt and another karaoke CD I had in my pre-teen years.
2,0,,,,,,,
2,1,3.0,3.0,2.0,3.0,1.0,1.0,"the final countdown reminds me of the holidays of my people (in recent years), played by the orchestra and sung by my friends and me to scream peeled"
3,1,3.0,1.0,3.0,1.0,1.0,1.0,"Most remind me go with my father in the car singing and / or dancing the living room, especially around 2005-2010"
2,1,2.0,0.0,3.0,1.0,0.0,1.0,On the radio and in the barrack of the celebrations of the people
2,1,1.0,1.0,1.0,1.0,0.0,0.0,
2,1,1.0,1.0,0.0,2.0,0.0,1.0,The Final Countdown was the song that always dancing in the Christmas holidays with some friends when we were little
3,1,2.0,0.0,1.0,0.0,0.0,1.0,"My father had a big band classics of metal music and occasionally put it at home or when we were traveling in the car. Once small, I think five years put that tape in the car when we returned to house after spending the day at the amusement park."
3,1,3.0,1.0,1.0,3.0,3.0,0.0,
3,1,3.0,0.0,3.0,1.0,0.0,1.0,I remember our neighbor we had in the car to school and sounded kiss fm. I particularly remember the song singing it all together voyage voyage in the car
3,1,1.0,1.0,1.0,1.0,1.0,1.0,Dancing
3,1,1.0,3.0,2.0,1.0,1.0,0.0,
1,0,,,,,,,
3,1,3.0,1.0,3.0,1.0,1.0,0.0,
3,1,4.0,3.0,3.0,3.0,3.0,1.0,"They remind me of me in the car with my parents (small, when they were driving) or without them (now that I drive). I think 8 songs that have rung up eighty percent of the songs played on KISS FM since, at least fifteen years. As we always heard that radio in the car, I associate him. I realize now that in my life I've spent a lot of time in the car."
2,1,1.0,0.0,0.0,1.0,0.0,1.0,"Song Alcala Gate sang with my preschool classmates and teacher. We were doing a kind of dramatization / game where we took turns to Alcala Gate raising his arms diagonally to join hands with another person and create a kind of human door. Meanwhile, the rest of the class passed under the arch of the door."
4,1,2.0,1.0,2.0,1.0,1.0,1.0,Dancing with my family
4,1,1.0,1.0,1.0,1.0,1.0,0.0,
3,1,2.0,1.0,1.0,2.0,1.0,0.0,
4,1,1.0,1.0,1.0,1.0,3.0,1.0,"I have reminded many different times of my life. When he had long hair like those of euroep, when I studied French and I learned of voyage voyage. There was a time that was one of my favorite songs (life is life) and brings me memories of going to places (some local, some store) and go with my headphones on listening to that song."
4,1,1.0,1.0,1.0,1.0,1.0,1.0,Memories of concerts to celebrate goals with friends at the football stadium and also to party (some of've danced while sounding). In all these memories I felt cheerful.
3,1,1.0,0.0,1.0,1.0,0.0,0.0,
3,0,,,,,,,
