Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
1,1,1.0,0.0,1.0,1.0,0.0,1.0,"Penelope Grease dancing in nightclub with 4 of my friends, trying to imitate the choreography. I remember being located more or less going right, away from the DJ."
3,1,3.0,0.0,2.0,2.0,0.0,0.0,#VALUE!
3,1,3.0,1.0,3.0,1.0,1.0,1.0,"Many of the songs remind me of mañaneros Sundays when I was little. My mother used to put a cd I had, among others, several of these songs."
1,1,3.0,0.0,3.0,1.0,1.0,1.0,#VALUE!
1,0,,,,,,,
1,0,,,,,,,
3,1,3.0,0.0,3.0,0.0,0.0,0.0,"Sergio Dalma and sang a lot with my mother Daddy Cool, small"
1,0,,,,,,,
1,0,,,,,,,
2,1,2.0,2.0,1.0,1.0,1.0,1.0,"at school we made a function of grease and memory tests, and madly in adolescents, with a turkey tremendous, singing those songs"
2,1,2.0,1.0,3.0,2.0,1.0,1.0,Singing in the car with my mother
3,1,1.0,3.0,3.0,3.0,0.0,1.0,Whenever I travel with my family and we drive put several of these songs in the car. My parents and older sister like a lot especially Italian songs
0,0,,,,,,,
1,1,4.0,0.0,0.0,2.0,2.0,1.0,"I remember seeing Grease at a birthday, was about 9-10 years and I remember that I liked, I remember to the house where he was held and colors (yellow, orange, red) of plates and glasses. Grease have extraordinarily associated to that house, but I remember other children who were or who was the birthday. Bonnie M I discovered on my own with a song by Turisas, and I remember that I liked a lot and got several in the mp3."
2,0,,,,,,,
1,0,,,,,,,
3,1,2.0,0.0,2.0,1.0,0.0,0.0,#VALUE!
2,1,3.0,1.0,1.0,2.0,1.0,0.0,#VALUE!
1,1,1.0,1.0,0.0,1.0,0.0,1.0,"My cousin Grease flipaba him when he was a kid and I was small (we brought 20 tacos) and I remember seeing him freak out, carnival dress up for Travolta son haha"
3,1,0.0,1.0,0.0,1.0,3.0,1.0,When my girlfriend gave me a poster of Grease for my birthday
2,1,1.0,1.0,1.0,1.0,1.0,1.0,reminds me some awesome movie Grease and the floor when I sing karaoke (to see if the COVID just to do it again '().
2,0,,,,,,,
2,0,,,,,,,
