Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
Half,Yes,Some),Some),Some),Some),Some),Yes,Singing and dancing in the courtyard of my school with my friends. A 9-11 years.
The majority,Yes,The majority,None,Half,Half,None,Yes,"Many of them in prom parties, summer or school songs were popular in their day"
Half,Yes,Some),The majority,Half,The majority,The majority,Yes,"Torero song reminds me of a trip with my friends. It sounded a lot during the trip, in the car. Also it sounded in the pub we used to go."
The majority,Yes,The majority,Half,The majority,The majority,Half,Yes,You have to be a bullfighter and David Bisbal remind me to go to the bars of my people on a Sunday after church early 2000
All,Yes,All,None,The majority,The majority,Some),Yes,In my childhood and prom dances at school
Some),Yes,Some),Some),Some),Some),None,Yes,Town parties
The majority,Yes,The majority,None,The majority,None,Half,Yes,My mother and me we loved to dance with Leonardo Dantes and Chayanne. I liked small Upa Dance and Bast (memories alone)
The majority,Yes,Half,Some),Some),Half,Some),No,#VALUE!
Some),No,,,,,,,
Half,Yes,Half,Some),Some),Some),Some),Yes,"I remember as a child also play with my sister and other children singing the toreador representing some point, in the courtyard of the school, very swollen"
All,Yes,Some),Some),Some),The majority,Half,Yes,Village festivals
Half,Yes,The majority,None,Some),The majority,Some),Yes,"Bast listening with some friends when I was 8-10 years, the Hay to be torero remember when my little sister gave him an album with that song and we invent a dance, some others to hear them on the radio with my car parents and sisters"
None,No,,,,,,,
Some),Yes,All,None,Some),The majority,None,Yes,"I do not remember how I felt at that time (imagine that good), but I know how they made me feel right now. Most are songs I heard in my small town (mainly in the pool and at parties), and I have pleasant memories of that time. In fact until I have some anxiety: _"
Half,Yes,The majority,None,None,None,The majority,No,"They are not vivid, only now recognized the songs I've heard them on MTV (on TV) when I was little. With video included. As much remind me of me in the hall, but it is a reconstruction, because it is impossible to remember me."
Some),No,,,,,,,
The majority,Yes,Half,None,Half,Half,Some),Yes,Indian summer at the beach
The majority,Yes,All,None,Some),Half,Some),No,#VALUE!
The majority,Yes,All,Some),Some),The majority,The majority,Yes,"I remember going to my first class in sixth grade DiscMan listening to a CD of songs downloaded Estopa the landing or Kazaa. I remember being at home with my mother after my father bought me the pirate CD Caribe Mix 2000 and the summer when the pump was heard was a comercialísimo hitazo at that time. Of course I reminded me of my years of 5th and 6th grade, school, friends, had a companion who loved dancing and especially Ricky Martin and Chayanne and rehearsed those songs for the party prom."
The majority,Yes,The majority,None,None,Some),The majority,No,It gives me memories of the summer in general. When he was a teenager and sound those songs.
The majority,Yes,The majority,Some),The majority,Some),Some),Yes,Most remind me as a child and was vacationing with family on the beach.
Some),Yes,Some),None,None,Some),None,No,
Half,No,,,,,,,
