Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
1,1,1.0,0.0,0.0,1.0,1.0,1.0,Go for a concrete sidewalk in my neighborhood while listening to my iPod. It will be 4 or 5 years.
1,0,,,,,,,
2,1,0.0,2.0,0.0,3.0,2.0,0.0,#VALUE!
2,1,3.0,3.0,3.0,3.0,3.0,1.0,When I was 10 I told the guy I liked my favorite song was hammerfall me and said that hers was hanging in your hands
2,1,2.0,1.0,3.0,3.0,2.0,1.0,I remember hearing Violators Versi in the car with my parents on the way to Barcelona
1,1,1.0,0.0,1.0,0.0,0.0,1.0,Listen to the radio as a child with my mother
2,1,1.0,1.0,0.0,1.0,1.0,0.0,I liked to sing and imitate Shakira small
3,1,1.0,1.0,0.0,2.0,2.0,1.0,When I was 13/14 years listening to a lot of rap and I always put that drawing or doing classwork.
1,0,,,,,,,
3,1,1.0,2.0,1.0,2.0,2.0,0.0,#VALUE!
4,1,1.0,2.0,1.0,3.0,3.0,1.0,Live the Betis
3,1,3.0,1.0,1.0,3.0,0.0,1.0,"I remember putting video on youtube Madonna, Shakira the laugh of the ""lucky that my breasts are small and not confuse them with mountains"" with my sisters, and Pitbull also laugh a few years later (2012-2014) with my friends on the school bus because their songs seemed to me a little ridiculous"
0,0,,,,,,,
3,1,4.0,1.0,1.0,3.0,1.0,1.0,"The Madonna remember I have been very heavy with it, particularly during a road trip where I had a stuffed lion and I invented a letter with that pace and was singing (with variations) for at least 1 hour (remember be aware that he was being weighed and do not stop because I was amused to be bothering). But the trip was not with my parents but with my uncles and cousins. Of The Saints Are Coming remember to listen with Katrina, probably in class and brings back memories guays me because I met U2 and Green Day thanks to her."
3,0,,,,,,,
1,0,,,,,,,
2,1,1.0,0.0,0.0,1.0,1.0,1.0,"At a friend's house a few months ago, your compu floor whole discography of Shakira knew. Pitbull album reminds me of my people"
2,1,4.0,1.0,1.0,1.0,1.0,0.0,#VALUE!
3,1,1.0,2.0,0.0,4.0,3.0,1.0,"MTV was basically that of Shakira with Alejandro Sanz in particular remember to listen a lot with a friend at school, along this same friend stealing her brother a CD of hip hop compilation to listen together in my DiscMan and the end I he gave and burned to hear. Both she and the partner with whom I sat in class that we gave while doing homework in class and say that much of our friendship, which I still enjoy that moment came. These songs appeared on CD and many memories ""has accompanied me this song from the TV while doing something"""
1,0,,,,,,,
4,1,4.0,0.0,0.0,3.0,1.0,1.0,"They remind me of the teenage period, some listened with friends and others discovered while searching the new great songs."
3,1,,,,,,,
2,1,0.0,3.0,0.0,3.0,1.0,1.0,
