Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
2,1,1,1,1,1,1,1,Singing and dancing in the courtyard of my school with my friends. A 9-11 years.
3,1,3,0,2,2,0,1,"Many of them in prom parties, summer or school songs were popular in their day"
2,1,1,3,2,3,3,1,"Torero song reminds me of a trip with my friends. It sounded a lot during the trip, in the car. Also it sounded in the pub we used to go."
3,1,3,2,3,3,2,1,You have to be a bullfighter and David Bisbal remind me to go to the bars of my people on a Sunday after church early 2000
4,1,4,0,3,3,1,1,In my childhood and prom dances at school
1,1,1,1,1,1,0,1,Town parties
3,1,3,0,3,0,2,1,My mother and me we loved to dance with Leonardo Dantes and Chayanne. I liked small Upa Dance and Bast (memories alone)
3,1,2,1,1,2,1,0,#VALUE!
1,0,,,,,,,
2,1,2,1,1,1,1,1,"I remember as a child also play with my sister and other children singing the toreador representing some point, in the courtyard of the school, very swollen"
4,1,1,1,1,3,2,1,Village festivals
2,1,3,0,1,3,1,1,"Bast listening with some friends when I was 8-10 years, the Hay to be torero remember when my little sister gave him an album with that song and we invent a dance, some others to hear them on the radio with my car parents and sisters"
0,0,,,,,,,
1,1,4,0,1,3,0,1,"I do not remember how I felt at that time (imagine that good), but I know how they made me feel right now. Most are songs I heard in my small town (mainly in the pool and at parties), and I have pleasant memories of that time. In fact until I have some anxiety: _"
2,1,3,0,0,0,3,0,"They are not vivid, only now recognized the songs I've heard them on MTV (on TV) when I was little. With video included. As much remind me of me in the hall, but it is a reconstruction, because it is impossible to remember me."
1,0,,,,,,,
3,1,2,0,2,2,1,1,Indian summer at the beach
3,1,4,0,1,2,1,0,#VALUE!
3,1,4,1,1,3,3,1,"I remember going to my first class in sixth grade DiscMan listening to a CD of songs downloaded Estopa the landing or Kazaa. I remember being at home with my mother after my father bought me the pirate CD Caribe Mix 2000 and the summer when the pump was heard was a comercialísimo hitazo at that time. Of course I reminded me of my years of 5th and 6th grade, school, friends, had a companion who loved dancing and especially Ricky Martin and Chayanne and rehearsed those songs for the party prom."
3,1,3,0,0,1,3,0,It gives me memories of the summer in general. When he was a teenager and sound those songs.
3,1,3,1,3,1,1,1,Most remind me as a child and was vacationing with family on the beach.
1,1,1,0,0,1,0,0,
2,0,,,,,,,
