Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
2,1,1.0,1.0,1.0,1.0,0.0,1.0,"Being at a dinner at the home of one of my aunts, with the whole family together. I remember my aunt start singing one of the songs blaring, and the rest of her sisters to follow. It must have been in my teens. It's a fun, happy memory."
1,1,1.0,0.0,3.0,1.0,0.0,0.0,Many of them relate to the summer or car trips
3,1,3.0,1.0,3.0,1.0,1.0,0.0,
2,0,,,,,,,
1,1,1.0,0.0,0.0,0.0,0.0,1.0,"Callosa de Segura, makes more than 15 years in the festival of Moors and Christians, in the barrack of benimerines Moors when he was little"
1,1,1.0,0.0,1.0,1.0,0.0,1.0,"Christmas dinners, New Year etc. See performances by Spanish historical songs on television with my family."
3,0,,,,,,,
2,0,,,,,,,
2,0,,,,,,,
3,1,3.0,1.0,3.0,1.0,0.0,0.0,
3,1,4.0,1.0,4.0,4.0,1.0,1.0,The feasts of the people
3,0,,,,,,,
1,0,,,,,,,
2,0,,,,,,,
3,1,1.0,1.0,1.0,1.0,1.0,0.0,
1,0,,,,,,,
3,1,2.0,1.0,2.0,1.0,1.0,0.0,
1,1,3.0,1.0,3.0,0.0,1.0,0.0,
3,1,2.0,1.0,2.0,1.0,0.0,1.0,"A town called Burgo lived when he was 5, he went to the school where my mother was a teacher, and finally of course that song we danced students in my class. The used to rehearse with my mother and me flipaba as music in general passed me great.

In other cases they have been ditties I've heard my parents sing while doing household chores, or even jokingly referring to me as an adult."
3,1,1.0,0.0,1.0,1.0,2.0,0.0,"A trip in the car with my mother when I was little, put a cassette in the car with some of the songs that have sounded. It brings back memories of summer, it was when we made that trip to go to spend the summer in Almería."
4,1,3.0,1.0,3.0,1.0,0.0,1.0,Some sang doing the karaoke at home with the family and others listened on the radio or on TV.
1,1,1.0,1.0,1.0,1.0,0.0,0.0,
3,0,,,,,,,
