Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
1,1,1,1,0,1,0,1,Dancing at a party on ski trip to Andorra with the institute. 15-16. I remember a particular person by passing graceful dance.
2,0,,,,,,,
2,1,1,3,1,3,1,1,Saturday night reminds me of my high school graduation
2,1,3,2,3,3,2,1,#VALUE!
1,1,1,0,1,3,0,1,Parties in the garden with my colleagues
1,0,,,,,,,
1,1,0,1,0,1,0,1,Saturday Night's always dance party with my friends
2,1,1,0,0,2,0,1,"In late February 2011 I went to the Institute skiing in the Pyrenees, the Catalan side and sat on the bus once with a partner who was obsessed with the theme of infinity, put it almost always."
1,0,,,,,,,
1,1,1,0,1,0,0,1,"I remember dancing at a hotel which I was a child with my parents, in a fiestecilla with many other children, all lined saturday night. That was the time I learned the dance, but then of course I have danced more in weddings and so"
3,1,1,1,1,1,1,1,Carnival parade
3,1,2,1,1,3,1,1,"Madonna's Vogue've heard very recently with my boyfriend, putting video on YouTube While recording her dog with a shirt. Saturday Night of the memory of 2012 approximately camps school, doing the typical dance of the song almost all who were there"
0,0,,,,,,,
2,1,3,0,0,3,1,0,"(The Grease yes, but I have already answered in the previous question. The rest did not)."
3,1,3,3,3,3,3,0,"For what it's worth, I think all my songs evoke their music, if you've seen (in the case of the songs from Grease, as the film). I do not evoke a vivid memory or no staff. As far I can imagine a very listening to me in the car, but I've been so long in the car that was not rolled back at a certain time in my life, because Kiss FM takes putting the same songs for centuries, and have heard interchangeably childhood, preadolescence, adolescence ... in the car."
1,0,,,,,,,
4,1,2,1,1,1,1,1,Pasandomela Bluetooth in recreooo. Another Baile do anything with those of work
1,1,2,1,1,1,1,0,
1,1,0,1,1,3,0,1,Saturday Night is a classic drunken nights 10 years ago hahah will remain but most memories I have friends that are drinking in the village of my ex girlfriend
2,1,0,3,0,3,1,1,"Some have reminded me to parties of my people in summer, with all the people dancing and singing, all very happy."
3,1,1,1,1,3,1,1,"I remember a summer at the time of school, when there were several months ahead and a lot to enjoy. Some others remind me to be taking a leisurely beer carefree, and others to dance them at company parties."
4,1,1,1,0,1,1,1,"One of the songs when they were teenagers we put in the institute at a carnival, we were going all LA disfrazadxs and we were in a class by ""club"". Very funny."
3,1,0,0,0,3,1,1,
