Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
The majority,Yes,Some),Some),Some),Some),Some),Yes,Celebrate New Year's Eve with my family and dance together. Listen to two songs in loop during my adolescence.
All,Yes,Half,None,Half,Half,None,No,#VALUE!
Half,No,,,,,,,
The majority,Yes,The majority,Half,The majority,The majority,Half,Yes,"Around 2006 gave a happy meal with music players and my sister and me we play the same, and for years we used the soundtrack to play with bratz"
Some),No,,,,,,,
Half,Yes,Some),Some),Some),Some),None,Yes,Listen to the radio with my mother small village parties recently ...
Half,Yes,None,Some),None,Some),None,Yes,I used to play one of the songs with my group
Some),No,,,,,,,
Some),No,,,,,,,
The majority,Yes,Half,Some),Some),Some),Some),Yes,"I remember my first unburden zombie ipod, be the first songs I listened with my headphones, as in the first part of adolescence"
The majority,Yes,Some),Half,Some),The majority,The majority,Yes,Town
The majority,Yes,The majority,Some),Some),The majority,Some),Yes,"Mambo number 5 sounded a lot in 2010 and I really liked, I always sang with my sisters and friends and I also invented a dance for her. The Gene in a bottle listened on the radio and my older sister, and I looked really cool just for the fact that my sister heard. The lemon half listened recently in the ""Poison"" and the """" Biibababirapo """" series is widely used today in memes, so often hear"
Some),No,,,,,,,
Half,Yes,The majority,Some),Some),The majority,Some),Yes,"Zombie was another of the first songs that got me my sister in mp3, so I very much associated with that time and my people. The Scatman remember that I liked, but ended up forgetting and I've just remembered her from a meme turned recently. I have associated generally between happy memories and bittersweet to whom I recognized."
Half,Yes,The majority,The majority,The majority,The majority,The majority,No,"Actually, my memories are not vivid. The songs do not evoke a scene, I just know them by heart, and I remember perfectly is hearing them over and over again. On Kiss FM. And Aguilera on MTV. Maybe I should listen to another radio. Now that I think, what can evocarme is the video clip. But it only happens to me Aguilera, because I have not seen the video clips of Kiss FM."
Some),No,,,,,,,
The majority,Yes,Half,Some),Half,Some),Some),No,
Half,Yes,Some),Half,Some),Some),The majority,No,
The majority,Yes,Half,None,Some),The majority,Some),Yes,"Number Maroon 5, pipapaparapa, typical songs to go in the car with my father and go on the radio / cassette with that had a kind of music that flipaba us to mongolear together"
Half,Yes,Some),None,None,Some),Some),Yes,"I was in my village and listen to techno version of Zombie The Cranberries ""hallucinating because everyone knew the techno song, but not the original group, which is also quite famous."
The majority,Yes,The majority,None,Some),The majority,Some),Yes,I remember the days of college and some even dance to doing acrogimnasia.
The majority,Yes,Some),Some),None,Some),None,Yes,Recently my brother redescubió song Scatman me and told me his story and meaning.
All,Yes,Some),None,Some),The majority,Some),Yes,
